client_id,system_info_id,hostname,cpuUsage,ramUsage,timestamp
1,78,Incedo,79.5,3529 MB used / 8104 MB total,2023-10-13 15:29:33
1,79,Incedo,8.2,3543 MB used / 8104 MB total,2023-10-13 15:29:39
1,80,Incedo,13.3,3549 MB used / 8104 MB total,2023-10-13 15:29:44
1,81,Incedo,21.7,3557 MB used / 8104 MB total,2023-10-13 15:29:49
1,82,Incedo,0,3549 MB used / 8104 MB total,2023-10-13 15:29:54
1,83,Incedo,6.2,3554 MB used / 8104 MB total,2023-10-13 15:30:00
1,84,Incedo,6,3553 MB used / 8104 MB total,2023-10-13 15:30:05
1,85,Incedo,4.2,3552 MB used / 8104 MB total,2023-10-13 15:30:10
1,86,Incedo,12.7,3564 MB used / 8104 MB total,2023-10-13 15:30:15
1,87,Incedo,21.8,3553 MB used / 8104 MB total,2023-10-13 15:30:20
1,88,Incedo,6.3,3543 MB used / 8104 MB total,2023-10-13 15:30:26
1,89,Incedo,4.2,3593 MB used / 8104 MB total,2023-10-13 15:30:31
1,90,Incedo,4,3605 MB used / 8104 MB total,2023-10-13 15:30:36
1,91,Incedo,14.9,3596 MB used / 8104 MB total,2023-10-13 15:30:41
1,92,Incedo,13.7,3622 MB used / 8104 MB total,2023-10-13 15:30:46
1,93,Incedo,8.3,3559 MB used / 8104 MB total,2023-10-13 15:30:52
1,94,Incedo,45.9,3344 MB used / 8104 MB total,2023-10-13 15:37:08
1,95,Incedo,16.6,3346 MB used / 8104 MB total,2023-10-13 15:37:13
1,96,Incedo,54.4,3497 MB used / 8104 MB total,2023-10-13 15:37:18
1,97,Incedo,12.4,3501 MB used / 8104 MB total,2023-10-13 15:37:24
1,98,Incedo,18.7,3503 MB used / 8104 MB total,2023-10-13 15:37:29
1,99,Incedo,10.8,3588 MB used / 8104 MB total,2023-10-13 15:37:34
1,100,Incedo,0,3588 MB used / 8104 MB total,2023-10-13 15:37:39
1,101,Incedo,6.3,3619 MB used / 8104 MB total,2023-10-13 15:37:44
1,102,Incedo,4.2,3621 MB used / 8104 MB total,2023-10-13 15:37:50
1,103,Incedo,4,3619 MB used / 8104 MB total,2023-10-13 15:37:55
1,104,Incedo,2,3637 MB used / 8104 MB total,2023-10-13 15:38:00
1,105,Incedo,4.2,3638 MB used / 8104 MB total,2023-10-13 15:38:05
1,106,Incedo,2.1,3645 MB used / 8104 MB total,2023-10-13 15:38:10
1,107,Incedo,4.4,3645 MB used / 8104 MB total,2023-10-13 15:38:16
1,108,Incedo,7.9,3663 MB used / 8104 MB total,2023-10-13 15:38:21
1,109,Incedo,15.2,3653 MB used / 8104 MB total,2023-10-13 15:38:26
1,110,Incedo,31.3,3659 MB used / 8104 MB total,2023-10-13 15:38:31
1,111,Incedo,21.7,3669 MB used / 8104 MB total,2023-10-13 15:38:36
1,112,Incedo,7.6,3658 MB used / 8104 MB total,2023-10-13 15:38:42
1,113,Incedo,10.2,3650 MB used / 8104 MB total,2023-10-13 15:38:47
1,114,Incedo,7.9,3355 MB used / 8104 MB total,2023-10-13 15:38:52
1,115,Incedo,34.7,3230 MB used / 8104 MB total,2023-10-13 15:55:05
1,116,Incedo,4,3200 MB used / 8104 MB total,2023-10-13 15:55:10
