client_id,system_info_id,hostname,cpuUsage,ramUsage,timestamp
2,78,Incedo,13.5,1554 MB used / 8104 MB total,2023-10-10 17:13:05
2,79,Incedo,7.5,1555 MB used / 8104 MB total,2023-10-10 17:13:11
2,80,Incedo,75,1568 MB used / 8104 MB total,2023-10-10 17:13:16
2,81,Incedo,23.5,1591 MB used / 8104 MB total,2023-10-10 17:13:21
2,82,Incedo,9.3,1593 MB used / 8104 MB total,2023-10-10 17:13:27
2,83,Incedo,12.8,1584 MB used / 8104 MB total,2023-10-10 17:13:32
2,84,Incedo,9.1,1585 MB used / 8104 MB total,2023-10-10 17:13:37
2,85,Incedo,7.6,1585 MB used / 8104 MB total,2023-10-10 17:13:42
2,86,Incedo,9.1,1577 MB used / 8104 MB total,2023-10-10 17:13:48
2,87,Incedo,64.9,1597 MB used / 8104 MB total,2023-10-10 17:13:53
2,88,Incedo,80,1697 MB used / 8104 MB total,2023-10-10 17:13:58
2,89,Incedo,8.8,1703 MB used / 8104 MB total,2023-10-10 17:14:04
2,90,Incedo,20.4,1710 MB used / 8104 MB total,2023-10-10 17:14:09
1,91,Ubuntu,30,3167 MB used / 7933 MB total,2023-10-11 12:55:10
1,92,Ubuntu,3.1,3157 MB used / 7933 MB total,2023-10-11 12:55:15
1,93,Ubuntu,5.6,3162 MB used / 7933 MB total,2023-10-11 12:55:20
1,94,Ubuntu,9.8,3156 MB used / 7933 MB total,2023-10-11 12:55:26
1,95,Ubuntu,17.2,3151 MB used / 7933 MB total,2023-10-11 12:55:31
1,96,Ubuntu,4.3,3065 MB used / 7933 MB total,2023-10-11 12:55:36
1,97,Ubuntu,0,3035 MB used / 7933 MB total,2023-10-11 12:55:41
1,98,Ubuntu,6.8,3041 MB used / 7933 MB total,2023-10-11 12:55:46
1,99,Ubuntu,7.7,3057 MB used / 7933 MB total,2023-10-11 12:55:52
1,100,Ubuntu,4.4,3049 MB used / 7933 MB total,2023-10-11 12:55:57
1,101,Ubuntu,4.3,3023 MB used / 7933 MB total,2023-10-11 12:56:02
1,102,Ubuntu,5.7,3044 MB used / 7933 MB total,2023-10-11 12:56:07
1,103,Ubuntu,18.2,3040 MB used / 7933 MB total,2023-10-11 12:56:13
1,104,Ubuntu,4.3,3048 MB used / 7933 MB total,2023-10-11 12:56:18
1,105,Ubuntu,73.2,3043 MB used / 7933 MB total,2023-10-11 12:56:23
1,106,Ubuntu,4.4,3062 MB used / 7933 MB total,2023-10-11 12:56:28
1,107,Ubuntu,5.7,3047 MB used / 7933 MB total,2023-10-11 12:56:33
1,108,Ubuntu,1.7,3050 MB used / 7933 MB total,2023-10-11 12:56:39
1,109,Ubuntu,3,3038 MB used / 7933 MB total,2023-10-11 12:56:44
1,110,Ubuntu,7.2,3055 MB used / 7933 MB total,2023-10-11 12:56:49
1,111,Ubuntu,4.2,3051 MB used / 7933 MB total,2023-10-11 12:56:55
1,112,Ubuntu,1.5,3067 MB used / 7933 MB total,2023-10-11 12:57:00
1,113,Ubuntu,3.1,3077 MB used / 7933 MB total,2023-10-11 12:57:05
2,114,Incedo,12.7,3384 MB used / 8104 MB total,2023-10-11 12:57:08
1,115,Ubuntu,5.6,3083 MB used / 7933 MB total,2023-10-11 12:57:10
2,116,Incedo,5.7,3355 MB used / 8104 MB total,2023-10-11 12:57:13
1,117,Ubuntu,4.2,3091 MB used / 7933 MB total,2023-10-11 12:57:16
2,118,Incedo,4,3355 MB used / 8104 MB total,2023-10-11 12:57:19
1,119,Ubuntu,12,3112 MB used / 7933 MB total,2023-10-11 12:57:21
2,120,Incedo,7.6,3355 MB used / 8104 MB total,2023-10-11 12:57:24
1,121,Ubuntu,26.9,3103 MB used / 7933 MB total,2023-10-11 12:57:26
2,122,Incedo,2,3355 MB used / 8104 MB total,2023-10-11 12:57:29
1,123,Ubuntu,7.2,3109 MB used / 7933 MB total,2023-10-11 12:57:31
2,124,Incedo,5.7,3355 MB used / 8104 MB total,2023-10-11 12:57:35
1,125,Ubuntu,3,3127 MB used / 7933 MB total,2023-10-11 12:57:37
2,126,Incedo,5.7,3355 MB used / 8104 MB total,2023-10-11 12:57:40
1,127,Ubuntu,4.5,3060 MB used / 7933 MB total,2023-10-11 12:57:42
2,128,Incedo,5.7,3355 MB used / 8104 MB total,2023-10-11 12:57:46
